disease,symptoms
"Sleepiness, daytime, also known asNarcolepsy","Excessive daytime sleepiness. People with narcolepsy fall asleep without warning. It can happen anywhere and at any time. It may happen when you're bored or during a task. For example, you may be working or talking with friends and suddenly fall asleep. It can be especially dangerous if you fall asleep while driving. You might fall asleep for only a few minutes or up to a half-hour. After waking, you'll often feel refreshed but you'll get sleepy again.
You also may experience a decrease in how alert and focused you feel during the day. Daytime sleepiness often is the first symptom to appear. Feeling sleepy makes it hard to focus and function.
Some people with narcolepsy continue doing a task when they fall asleep briefly. For example, you may fall asleep while writing, typing or driving. You might continue to perform that task while asleep. When you awaken, you can't remember what you did, and you probably didn't do it well., Sudden loss of muscle tone. This condition is called cataplexy. It can cause slurred speech or complete weakness of most muscles. Symptoms may last up to a few minutes.
Cataplexy can't be controlled. It's triggered by intense emotions. Often the emotions that cause cataplexy are positive. Laughter or excitement may cause the symptoms. But sometimes fear, surprise or anger can cause the loss of muscle tone. For example, when you laugh, your head may drop without your control. Or your knees may suddenly lose strength, causing you to fall.
Some people with narcolepsy experience only one or two episodes of cataplexy a year. Others have several episodes a day. Not everyone with narcolepsy has these symptoms., Sleep paralysis. People with narcolepsy often experience sleep paralysis. During sleep paralysis, you can't move or speak while falling asleep or upon waking. It's usually brief — lasting a few seconds or minutes. But it can be scary. You may be aware of it happening and can recall it afterward.
Not everyone with sleep paralysis has narcolepsy., Hallucinations. Sometimes people see things that aren't there during sleep paralysis. Hallucinations also may happen in bed without sleep paralysis. These are called hypnagogic hallucinations if they happen as you fall asleep. They're called hypnopompic hallucinations if they happen upon waking. For example, you might feel as if there is a stranger in your bedroom. These hallucinations may be vivid and frightening because you may not be fully asleep when you begin dreaming., Changes in rapid eye movement (REM) sleep. REM sleep is when most dreaming happens. Typically, people enter REM sleep 60 to 90 minutes after falling asleep. But people with narcolepsy often move more quickly to REM sleep. They tend to enter REM sleep within 15 minutes of falling asleep. REM sleep also can happen at any time of the day."
"Sleeplessness, also known asInsomnia","Difficulty falling asleep at night, Waking up during the night, Waking up too early, Not feeling well-rested after a night's sleep, Daytime tiredness or sleepiness, Irritability, depression or anxiety, Difficulty paying attention, focusing on tasks or remembering, Increased errors or accidents, Ongoing worries about sleep"
Sleepwalking,"Get out of bed and walk around, Sit up in bed and open his or her eyes, Have a glazed, glassy-eyed expression, Not respond or communicate with others, Be difficult to wake up during an episode, Be disoriented or confused for a short time after being awakened, Not remember the episode in the morning, Have problems functioning during the day because of disturbed sleep, Have sleep terrors in addition to sleepwalking"
"Slipped disk, also known asHerniated disk","Arm or leg pain. If your herniated disk is in your lower back, besides pain in your lower back, you'll typically feel pain in your buttocks, thigh and calf. You might have pain in part of the foot as well.
For a herniated disk in your neck, you'll typically feel the most pain in your shoulder and arm. This pain might shoot into your arm or leg when you cough, sneeze or move into certain positions. Pain is often described as sharp or burning., Numbness or tingling. People who have a herniated disk often have radiating numbness or tingling in the body part served by the affected nerves., Weakness. Muscles served by the affected nerves tend to weaken. This can cause you to stumble, or affect your ability to lift or hold items."
"Slow heartbeat, also known asBradycardia","Chest pain, Confusion or memory problems, Dizziness or lightheadedness, Easily tiring during physical activity, Fatigue, Fainting (syncope) or near-fainting, Shortness of breath"
"Small bowel bacterial overgrowth, also known asSmall intestinal bacterial overgrowth (SIBO)","Loss of appetite, Abdominal pain, Nausea, Bloating, An uncomfortable feeling of fullness after eating, Diarrhea, Unintentional weight loss, Malnutrition"
Small intestinal bacterial overgrowth (SIBO),"Loss of appetite, Abdominal pain, Nausea, Bloating, An uncomfortable feeling of fullness after eating, Diarrhea, Unintentional weight loss, Malnutrition"
Small vessel disease,"Chest pain, squeezing or discomfort (angina), which may get worse with activity or emotional stress, Discomfort in the left arm, jaw, neck, back or abdomen along with chest pain, Shortness of breath, Tiredness and lack of energy"
Smallpox,"Fever, Muscle aches, Headache, Severe fatigue, Severe back pain, Vomiting, sometimes"
Snoring,"Witnessed breathing pauses during sleep, Excessive daytime sleepiness, Difficulty concentrating, Morning headaches, Sore throat upon awakening, Restless sleep, Gasping or choking at night, High blood pressure, Chest pain at night, Your snoring is so loud it's disrupting your partner's sleep, In children, poor attention span, behavioral issues or poor performance in school"
Social anxiety disorder (social phobia),"Fear of situations in which you may be judged negatively, Worry about embarrassing or humiliating yourself, Intense fear of interacting or talking with strangers, Fear that others will notice that you look anxious, Fear of physical symptoms that may cause you embarrassment, such as blushing, sweating, trembling or having a shaky voice, Avoidance of doing things or speaking to people out of fear of embarrassment, Avoidance of situations where you might be the center of attention, Anxiety in anticipation of a feared activity or event, Intense fear or anxiety during social situations, Analysis of your performance and identification of flaws in your interactions after a social situation, Expectation of the worst possible consequences from a negative experience during a social situation"
Soft palate cancer,"Bleeding, Difficulty swallowing, Difficulty speaking, Bad breath, Mouth pain, Sores in your mouth that won't heal, Loose teeth, Pain when you swallow, Weight loss, Ear pain, Swelling in your neck that may hurt, White patches in your mouth that won't go away"
Soft tissue sarcoma,"A noticeable lump or swelling, Pain, if a tumor presses on nerves or muscles"
"Solar keratosis, also known asActinic keratosis","Rough, dry or scaly patch of skin, usually less than 1 inch (2.5 centimeters) in diameter, Flat to slightly raised patch or bump on the top layer of skin, In some cases, a hard, wartlike surface, Color variations, including pink, red or brown, Itching, burning, bleeding or crusting, New patches or bumps on sun-exposed areas of the head, neck, hands and forearms"
"Solar lentigines, also known asAge spots (liver spots)","Are flat, oval areas of increased pigmentation, Are usually tan to dark brown, Occur on skin that has had the most sun exposure over the years, such as the backs of hands, tops of feet, face, shoulders and upper back, Range from freckle size to about 1/2 inch (13 millimeters) across, Can group together, making them more noticeable"
